OBJECTID,APN,APN_8,PARCELID,FRACTINT,LEGLDESC,ASR_LAND,ASR_IMPR,ASR_TOTAL,DOCTYPE,DOCNMBR,DOCDATE,ACREAGE,TAXSTAT,OWNEROCC,TRANUM,ASR_ZONE,UNITQTY,SUBMAP,SUBNAME,BEDROOMS,BATHS,POOL,PAR_VIEW,SITUS_ZIP,X_COORD,Y_COORD,SUB_TYPE,MULTI,Shape_Length,Shape_Area,SITUS_JURI,SITUS_STRE,SITUS_SUFF,SITUS_POST,SITUS_PRE_,SITUS_ADDR,SITUS_FRAC,SITUS_BUIL,SITUS_SUIT,ASR_LANDUS,NUCLEUS_ZO,NUCLEUS_US,SITUS_COMM,YEAR_EFFEC,TOTAL_LVG_,ADDITION_A,GARAGE_CON,GARAGE_STA,CARPORT_ST,USABLE_SQ_,QUAL_CLASS,NUCLEUS_SI,NUCLEUS__1,NUCLEUS__2,OVERLAY_JU,SHAPE_STAr,SHAPE_STLe
73005,5332710600,53327106,179993,1,BLK 219*(EX HWY OP)\,4373491,2124264,6497755,1,054432,110504,0.51,T, ,08001,6,1,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-2692,6280759.10843,1844340.30247,1,N,662.9658699722615,22761.51953785323,SD,ELM,ST,S, ,111, , , ,22,60,220,SAN DIEGO,71,30400,25503, , , ,22200, ,111,0, ,SD,22761.4873047,662.965932357
83206,5333531900,53335319,5216542,1,PAR 2\,424483,1106309,1530792,1,248317,052016,0,T, ,08242,6,1,PM18982,PARCEL MAP NO 18982,004,030, , ,92101-2538,6279845.57559,1843999.69872,1,N,111.91004985360675,773.6079586192519,SD,STATE,ST, ,W,1695, , , ,11,60,110,SAN DIEGO,02,2312,0, ,002, ,00775, ,1695,0, ,SD,773.608398438,111.910104591
110683,5332430700,53324307,405750,1,PAR 2\,0,0,0,1,092285,030714,1.36,N, ,08242,0,0,PM18747,PARCEL MAP NO 18747,000,000, , ,92101-2915,6280164.82664,1844220.5463,1,N,1079.6447542454644,58796.899706399025,SD,DATE,ST, ,W,250, , , ,0,00,000,SAN DIEGO,00,0,0, ,000,000,00000, ,250,0, ,SD,58796.8808594,1079.64512911
138906,5333540200,53335402,405757,1,BLK E*POR IN BLK 208 1/2 DB13PG522 & IN LOT 2\,812214,268651,1080865,1,221478,033006,0,T, ,08242,6,4,CC1-1874,MIDDLETOWN,000,000, , ,92101-2925,6280137.86537,1843958.2583,1,N,263.43186041723135,4129.470100181506,SD,UNION,ST, , ,1661, , , ,13,60,130,SAN DIEGO,94,1475,0, , , ,03850,D040,1661,1665, ,SD,4129.47753906,263.432221154
148321,5333531800,53335318,158740,1,PAR 1\,287123,969334,1256457,1,249801,060217,0,T, ,08242,6,1,PM18982,PARCEL MAP NO 18982,004,030,N,Y,92101-2916,6279845.28086,1844016.83456,1,N,112.01789539440458,775.3206807401326,SD,DATE,ST, ,W,343, , , ,11,60,110,SAN DIEGO,02,2312,0, ,002,000,00775,D080,343,0, ,SD,775.322265625,112.01801018
178258,5333610100,53336101,158732,1,BLK 208 1/2*E 100 FT OF N 100 FT*,713536,475692,1189228,1,008615,010919,0,T, ,08242,9,6,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-2920,6280227.65257,1843989.22979,1,N,413.63845660757806,10674.946632206784,SD,FRONT,ST, , ,1658, , , ,88,90,888,SAN DIEGO,37,6752,0, , , ,10000,D050,1658,1668, ,SD,10674.9609375,413.638720705
196458,5333531400,53335314,405755,1,BLK 33*LOT 11*S 25 FT*,388055,56578,444633,2,173104,031913,0,T,Y,08242,6,1,CC1-1874,MIDDLETOWN,003,010,N, ,92101-2926,6279977.27978,1843948.78896,1,N,250.4726741647491,2506.3661265544647,SD,UNION,ST, , ,1654, , , ,11,60,110,SAN DIEGO,00,1230,0,N, , ,02500,D040A,1654,0, ,SD,2506.36914063,250.472656567
207699,5332530800,53325308,22906,1,BLK 223*LOT H*PAR PER ROS 10654 IN LOT G&IN\,285525,533591,819116,2,925225,121701,0,T, ,08001,6,0,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-2662,6280542.01376,1844564.38889,1,N,250.17505741413294,2659.8830395450505,SD,1ST,AVE, , ,1818, , , ,21,60,210,SAN DIEGO,88,0,4450, , , ,02417,A070,1818,0, ,SD,2659.87695313,250.174854843
209914,5333660500,53336605,22905,1,BLK 220*LOTS F & G*ST CLSD ADJ & POR*,452715,0,452715,1,148173,040317,0,T, ,08242,6,1,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101,6280475.97996,1844091.13272,1,N,352.58410593861294,4081.512812272667,SD,1ST,AVE, , ,0, , , ,27,60,270,SAN DIEGO,00,0,0, , , ,04075, ,0,0, ,SD,4081.50292969,352.583747666
255250,5332530900,53325309,22907,1,BLK 223*LOTS J&K*(EX HWY OP)LOT I&ALL OF\,2823149,1433284,4256433,1,327622,103103,0,T, ,08001,6,0,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-2615,6280513.60448,1844675.89297,1,N,495.4020049731967,15267.987400669312,SD,1ST,AVE, , ,1840, , , ,31,60,312,SAN DIEGO,73,43389,0,N, ,002,14780, ,1840,0, ,SD,15267.9462891,495.401527066
271212,5333531700,53335317,405756,1,BLK 33*LOT 12*DOC87-699924 IN LOTS 1&11&\,1715091,4911297,6626388,1,632486,072605,0,T, ,08242,6,1,CC1-1874,MIDDLETOWN, , , , ,92101-0910,6279964.52517,1844001.30229,1,N,422.886338256391,9328.738409382056,SD,UNION,ST, , ,1660, , , ,22,60,220,SAN DIEGO,89,24530,21850, , , ,09300,S,1660,0, ,SD,9328.72558594,422.886115237
316444,5333530500,53335305,361534,1,BLK 33*LOT 3*,908844,194746,1103590,1,282139,042507,0,T, ,08242,6,7,CC1-1874,MIDDLETOWN,000,000, , ,92101-2535,6279876.69187,1843911.89337,1,N,300.49734643725833,5013.353058462942,SD,STATE,ST, , ,1637, , , ,14,60,140,SAN DIEGO,25,2633,0, , , ,05000,D040,1637,1649, ,SD,5013.34277344,300.496948897
479583,5333530200,53335302,158741,1,BLK 33*LOT 1*E 33 FT OF W 64 FT*,355504,318362,673866,1,154369,040516,0,T, ,08242,6,1,CC1-1874,MIDDLETOWN,002,010,N, ,92101-2916,6279875.04007,1844011.89755,1,N,165.98981689111991,1649.8333907261306,SD,DATE,ST, ,W,335, , , ,11,60,110,SAN DIEGO,20,708,0,N, , ,01650,D050B,335,0, ,SD,1649.82714844,165.989488899
519909,5332531000,53325310,1576333,1,BLK 223*LOTS A&B*(EX HWY)ST CLSD&\,776706,709167,1485873,2,908395,122206,0,T, ,08001,3,10,DB0013PG522,HORTONS ADD LOCKLING,011,100,N,Y,92101-1956,6280411.70953,1844745.60481,1,N,404.5334331785145,9578.723057912299,SD,FIR,ST, ,W,141, , , ,14,30,140,SAN DIEGO,28,7666,99999,N,767,000,09100,D055,141,0, ,SD,9578.71386719,404.533542453
600232,5332841300,53328413,22909,1,BLK 224*LOT C*LOTS A THRU\,2811528,3280117,6091645,1,006659,010405,0,T, ,08001,6,1,DB0013PG522,HORTONS ADD LOCKLING, , , , ,92101-2685,6280688.78086,1844730.25926,1,N,498.0086999972974,14875.460156147368,SD,1ST,AVE, , ,1855, , , ,21,60,210,SAN DIEGO,85,30579,27445, , , ,15000,D075,1855,0, ,SD,14875.4443359,498.008383681
620281,5333531300,53335313,405754,1,BLK 33*LOT 10*,584252,64907,649159,1,372881,060107,0,T, ,08242,6,2,CC1-1874,MIDDLETOWN,000,000, , ,92101,6279976.93332,1843911.28048,1,N,300.5059940860674,5013.286552107016,SD,UNION,ST, , ,1642, , , ,13,60,130,SAN DIEGO,05,3318,41, , , ,05000,D045,1642,1648, ,SD,5013.28320313,300.50590853
668142,5333540100,53335401,158731,1,BLK E*LOT 1*/EXC E 100 FT/ N 50 FT BLK 208 1/2 HORTON ADD &*,981409,197551,1178960,1,128684,041019,0,T, ,08242,6,4,CC1-1874,MIDDLETOWN,000,000, , ,92101-2914,6280137.9585,1844013.01852,1,N,273.19400881353107,4525.354588142003,SD,DATE,ST, ,W,223, , , ,13,60,130,SAN DIEGO,46,2810,0, , , ,03850,D050,223,235, ,SD,4525.3671875,273.194563125
678985,5332420400,53324204,158613,1,PAR 1\,0,0,0, ,016945,000000,3.59,N, ,08242,0,0,PM18747,PARCEL MAP NO 18747,000,000, , ,92101-2530,6279903.93236,1844548.85063,1,N,1826.8704486253846,156452.03254563437,SD,STATE,ST, , ,1789, , , ,0,00,000,SAN DIEGO,00,0,0, ,000,000,00000, ,1789,0, ,SD,156452.008789,1826.87064476
736137,5333660600,53336606,120033,1,BLK 209*LOTS A THRU F*DOC11-0711083 IN\,107653,2013,109666,1,711083,123011,0,T, ,08242,6,0,DB0013PG522,HORTONS ADD LOCKLING, , , , ,92101,6280380.11616,1843859.26045,1,N,688.6441016479645,12403.071094145453,SD,CEDAR,ST,W, ,148, , , ,31,60,311,SAN DIEGO, ,0,0, , , , , ,148,0, ,SD,12403.0585938,688.643449998
759837,5332530700,53325307,5201431,1,BLK 223*LOTS C & D*POR*,229629,40513,270142,1,442865,092717,0,T,Y,08001,3,1,DB0013PG522,HORTONS ADD LOCKLING,001,010,N,Y,92101-1956,6280435.94664,1844666.2596,1,N,261.70755464042975,3432.2213503118464,SD,FIR,ST, ,W,141, , , ,11,30,111,SAN DIEGO,20,384,0,N, ,000,03050,D050,141,0, ,SD,3432.22363281,261.707350002
770832,5332841200,53328412,22908,1,BLK 224*LOTS D THRU L\,5193424,7129506,12322930,1,737633,062303,1.07,T, ,08001,6,1,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-2602,6280739,1844589.51852,1,N,997.022363656466,44874.36712067692,SD,ELM,ST, , ,120, , , ,77,60,770,SAN DIEGO,74,95874,0, , ,002,45000, ,120,0, ,SD,44874.40625,997.022373309
806292,5333530400,53335304,361533,1,BLK 33*LOT 2*,735034,0,735034,1,632485,072605,0,T, ,08242,6,0,CC1-1874,MIDDLETOWN, , ,N, ,92101-2538,6279877.1755,1843961.89412,1,N,300.4417395160901,5010.1271207151,SD,STATE,ST, , ,1653, , , ,20,60,200,SAN DIEGO, ,0,0,N, , ,05000, ,1653,0, ,SD,5010.12890625,300.441612054
825286,5332530200,53325302,193665,1,BLK 223*LOT L*,865803,461760,1327563,1,228300,050311,0,T, ,08001,6,10,DB0013PG522,HORTONS ADD LOCKLING,006,100, , ,92101-1954,6280513.11334,1844769.41274,1,N,300.5177904671729,4825.18096234339,SD,FIR,ST, ,W,101, , , ,14,60,140,SAN DIEGO,55,4822,44800, ,482, ,05000,D060,101,119, ,SD,4825.19140625,300.517892818
856961,5333660400,53336604,22904,1,BLK 209*LOTS H THRU L*ST CLSD ADJ & POR*,1675055,135810,1810865,1,148173,040317,0,T, ,08242,6,1,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-3004,6280525.08388,1843954.2963,1,N,668.9365574405095,16661.53491618054,SD,1ST,AVE, , ,1666, , , ,27,60,270,SAN DIEGO,69,1602,0, , , ,15385,S,1666,0, ,SD,16661.5361328,668.936647573
900817,5333620600,53336206,22896,1,BLK 210*LOTS C THRU J*,6755905,12915044,19670949,1,401648,080811,0.92,T, ,08242,6,220,DB0013PG522,HORTONS ADD LOCKLING,000,000, , ,92101-3003,6280741.78086,1843841.46914,1,N,807.012681671197,40702.05683450889,SD,1ST,AVE, , ,1617, , , ,26,60,260,SAN DIEGO,70,99999,0, , , ,40075,C080,1617,0, ,SD,40702.0107422,807.012327218
919876,5333541200,53335412,11134,1,BLK E*LOTS 3 THRU 5*DOC97-295411 IN BLK208 1/2 DB\,2244738,29652689,31897427,1,077129,020911,0.62,T, ,08242,6,333,CC1-1874,MIDDLETOWN,000,000, , ,92101-2920,6280187.79029,1843827.44906,1,N,656.7857959471352,26647.095044127662,SD,FRONT,ST, , ,1646, , , ,26,60,260,SAN DIEGO,90,99999,0, ,000,000,00000, ,1646,0, ,SD,26647.0957031,656.786048352
968274,5332430800,53324308,405747,1,PAR 3\,0,0,0,1,092285,030714,0,N, ,08242,0,0,PM18747,PARCEL MAP NO 18747,000,000, , ,92101-2610,6279971.84391,1844131.8455,1,N,474.1641814758751,7652.470798704082,SD,DATE,ST, ,W,350, , , ,0,00,000,SAN DIEGO,00,0,0, ,000,000,00000, ,350,0, ,SD,7652.50585938,474.164545591
6327,5332230803,53322308,136030,1,BLK 43*US 3 PER DOCS05-587983&06-148000&UND INT IN LOT 8 IN\,137558,254323,391881,1,119079,040319,0,T, ,08242,1,1,CC1-1874,MIDDLETOWN,001,010, , ,92101-2249,6279292.96848,1844777.3192,1,N,300.6181059854389,5015.421837860582,SD,COLUMBIA,ST, , ,1918, , ,03,17,10,171,SAN DIEGO,06,792,0, ,001,000,00000,D070,1918,0, ,SD,5015.43261719,300.618300839
10735,5332230711,53322307,193650,1,BLK 43*US 11PER DOCS92-654856&92-807132&UND INT IN LOT 7\,44349,142038,186387,2,609048,110910,0,T, ,08242,1,1,CC1-1874,MIDDLETOWN,001,010, , ,92101-2231,6279309.62462,1844730.90803,1,N,300.6556231158191,5016.395277863319,SD,FIR,ST, ,W,602, , ,304,17,10,171,SAN DIEGO,93,662,0, ,001,000,00000,D070,602,0, ,SD,5016.39453125,300.655566081
11394,5332230710,53322307,193650,1,BLK 43*US 10PER DOCS92-654856&92-807132&UND INT IN LOT 7\,30463,91330,121793,1,192136,032394,0,T, ,08242,1,1,CC1-1874,MIDDLETOWN,001,010, , ,92101-2231,6279309.62462,1844730.90803,1,N,300.6556231158191,5016.395277863319,SD,FIR,ST, ,W,602, , ,301,17,10,170,SAN DIEGO,93,680,0, ,001,000,00000,D070,602,0, ,SD,5016.39453125,300.655566081
12047,5332230707,53322307,193650,1,BLK 43*US 7 PER DOCS92-654856&92-807132&UND INT IN LOT 7\,77284,67447,144731,1,554466,083198,0,T,Y,08242,1,1,CC1-1874,MIDDLETOWN,001,010, ,N,92101-2200,6279309.62462,1844730.90803,1,N,300.6556231158191,5016.395277863319,SD,FIR,ST, ,W,602, , ,201,17,10,170,SAN DIEGO,93,682,0,N,001,000,00000,D070,602,0, ,SD,5016.39453125,300.655566081
14058,5332410100,53324101,136019,1,BLK 37*LOT 2*,346887,0,346887,2,733141,111098,0,T, ,08242,6,0,CC1-1874,MIDDLETOWN,000,000, , ,92101,6279518.60425,1844655.846,1,N,315.48794255495636,5809.185554322117,SD,COLUMBIA,ST, , ,0, , , ,26,60,260,SAN DIEGO,86,0,0, , , ,06076,D060,0,0, ,SD,5809.16601563,315.487584458
18767,5333131021,53331310,258424,1,LOT 1*US 21PER DOC06-117660&UND INT IN\,178299,219903,398202,1,451526,071913,0,T, ,08242,1,1,015269, ,003,020, , ,92101-2541,6279052.15112,1843842.83933,1,N,600.8015658558849,20049.950542837152,SD,KETTNER,BLVD, , ,1601, , ,21,17,10,171,SAN DIEGO,01,1053,0, ,000,000,00000,D060,1601,0, ,SD,20049.9472656,600.801536837
