service_id,date,exception_type,exception_note,schedule_type
62112,20190901,1,Coronado Ferry SUN-THU,WD
69615-0000001-0,20190901,1,FINAL,SU
69613-0000001-0,20190901,1,FINAL,SU
6961325-0000001-25,20190901,1,FINAL 904 Summer,SU
69690-0000001-0,20190901,1,PRODUCTION,SU
69683-0000001-0,20190901,1,Schedule #112,SU
962112,20190902,1,Coronado Ferry Commuter Trips,WD
62112,20190902,1,Coronado Ferry SUN-THU,WD
69709-0000001-0,20190902,1,FINAL,ERRdow
69708-0000001-0,20190902,1,FINAL,ERRdow
6970825-0000001-25,20190902,1,FINAL 904 Summer,ERRdow
69692-0000001-0,20190902,1,PRODUCTION - SUNDAY HOLIDAY,ERRdow
69683-0000001-0,20190902,1,Schedule #112,SU
62112,20190903,1,Coronado Ferry SUN-THU,WD
69608-1111100-0,20190903,1,FINAL,WD
69607-1111100-0,20190903,1,FINAL,WD
69612-1111100-0,20190903,1,FINAL,WD
69609-1111100-0,20190903,1,FINAL,WD
69616-1111100-0,20190903,1,FINAL,WD
69617-1111100-0,20190903,1,FINAL,WD
6960827-1111100-27,20190903,1,FINAL Grossmont College,WD
6960931-1111100-31,20190903,1,FINAL High Tech High School,WD
696177-1111100-7,20190903,1,FINAL Rural 888,WD
6960929-1111100-29,20190903,1,FINAL San Ysidro High School,WD
6960919-1111100-19,20190903,1,FINAL Southwestern College,WD
69687-1111100-0,20190903,1,PRODUCTION,WD
6968715-1111100-15,20190903,1,PRODUCTION SD Mesa College,WD
69681-1111100-0,20190903,1,Schedule #112,WD
962112,20190904,1,Coronado Ferry Commuter Trips,WD
62112,20190904,1,Coronado Ferry SUN-THU,WD
69608-1111100-0,20190904,1,FINAL,WD
69607-1111100-0,20190904,1,FINAL,WD
69612-1111100-0,20190904,1,FINAL,WD
69609-1111100-0,20190904,1,FINAL,WD
69616-1111100-0,20190904,1,FINAL,WD
69617-1111100-0,20190904,1,FINAL,WD
6960827-1111100-27,20190904,1,FINAL Grossmont College,WD
6960931-1111100-31,20190904,1,FINAL High Tech High School,WD
6960929-1111100-29,20190904,1,FINAL San Ysidro High School,WD
6960919-1111100-19,20190904,1,FINAL Southwestern College,WD
69687-1111100-0,20190904,1,PRODUCTION,WD
6968715-1111100-15,20190904,1,PRODUCTION SD Mesa College,WD
69681-1111100-0,20190904,1,Schedule #112,WD
962112,20190905,1,Coronado Ferry Commuter Trips,WD
62112,20190905,1,Coronado Ferry SUN-THU,WD
69608-1111100-0,20190905,1,FINAL,WD
69607-1111100-0,20190905,1,FINAL,WD
69612-1111100-0,20190905,1,FINAL,WD
69609-1111100-0,20190905,1,FINAL,WD
69616-1111100-0,20190905,1,FINAL,WD
69617-1111100-0,20190905,1,FINAL,WD
6960827-1111100-27,20190905,1,FINAL Grossmont College,WD
6960931-1111100-31,20190905,1,FINAL High Tech High School,WD
6961711-1111100-11,20190905,1,FINAL Rural 892,WD
6960929-1111100-29,20190905,1,FINAL San Ysidro High School,WD
6960919-1111100-19,20190905,1,FINAL Southwestern College,WD
69687-1111100-0,20190905,1,PRODUCTION,WD
6968715-1111100-15,20190905,1,PRODUCTION SD Mesa College,WD
69681-1111100-0,20190905,1,Schedule #112,WD
962112,20190906,1,Coronado Ferry Commuter Trips,WD
62113,20190906,1,Coronado Ferry FRI-SAT,WD
69608-1111100-0,20190906,1,FINAL,WD
69607-1111100-0,20190906,1,FINAL,WD
69612-1111100-0,20190906,1,FINAL,WD
69609-1111100-0,20190906,1,FINAL,WD
69616-1111100-0,20190906,1,FINAL,WD
69617-1111100-0,20190906,1,FINAL,WD
