,index,stop_lon,stop_lat,geometry,density
0,42,-117.16668470073401,32.715568901987,POINT (-117.166684700734 32.715568901987),0.004292052396483801
1,44,-117.164952101716,32.71559825863,POINT (-117.164952101716 32.71559825863),0.006544287683511981
2,48,-117.162107439238,32.715613832073004,POINT (-117.162107439238 32.715613832073),0.007500922738537328
3,50,-117.160296984597,32.715660190144,POINT (-117.160296984597 32.715660190144),0.010503400950609008
4,52,-117.15947445809,32.715663509792,POINT (-117.15947445809 32.715663509792),0.010177994380710622
5,54,-117.15579613969601,32.711435881462,POINT (-117.155796139696 32.711435881462),0.011363619244182981
6,57,-117.153988877451,32.711468381528,POINT (-117.153988877451 32.711468381528),0.014222978825975278
7,58,-117.15401277941601,32.715700915474,POINT (-117.154012779416 32.715700915474),0.009182190016345654
8,62,-117.14970235440201,32.706214340429,POINT (-117.149702354402 32.706214340429),0.013882507137100115
9,63,-117.149602779995,32.711428992326,POINT (-117.149602779995 32.711428992326),0.02004866033429499
10,65,-117.146849244632,32.711440801542004,POINT (-117.146849244632 32.711440801542),0.012089757978863637
11,66,-117.145949943068,32.715721272065004,POINT (-117.145949943068 32.715721272065),0.00134983466031923
12,67,-117.145041895275,32.711464925578,POINT (-117.145041895275 32.711464925578),0.0021362338709069954
13,280,-117.172491716735,32.715599813958995,POINT (-117.172491716735 32.715599813959),0.0007125801276015578
14,284,-117.16881805650401,32.715621740043,POINT (-117.168818056504 32.715621740043),0.003457444805170349
15,293,-117.158783874753,32.711435889481,POINT (-117.158783874753 32.711435889481),0.007496403202844295
16,305,-117.151488625018,32.71145095238,POINT (-117.151488625018 32.71145095238),0.021520522458326113
17,306,-117.150049492078,32.715696919921,POINT (-117.150049492078 32.715696919921),0.005321000022597678
18,312,-117.14635066920799,32.706211262581,POINT (-117.146350669208 32.706211262581),0.007651573928305099
19,510,-117.171782253686,32.715844239434,POINT (-117.171782253686 32.715844239434),0.0009521155193323139
20,512,-117.16893755582701,32.715857222105996,POINT (-117.168937555827 32.715857222106),0.003523731328668168
21,514,-117.16726261163299,32.715803726111005,POINT (-117.167262611633 32.71580372611101),0.0044442100981492505
22,517,-117.16550074932199,32.715833308064,POINT (-117.165500749322 32.715833308064),0.006706990968461174
23,518,-117.163670529632,32.715855125716,POINT (-117.163670529632 32.715855125716),0.007704301844723819
24,519,-117.160880301784,32.715790560609996,POINT (-117.160880301784 32.71579056061),0.009052629993145371
25,520,-117.15902268714198,32.71157980068,POINT (-117.159022687142 32.71157980068),0.007415051560369698
26,522,-117.15706277542999,32.711627213397996,POINT (-117.15706277543 32.711627213398),0.009017980219498784
27,527,-117.15518362447399,32.711624528996,POINT (-117.155183624474 32.711624528996),0.011856248634723593
28,528,-117.15409798704799,32.711646235005,POINT (-117.154097987048 32.711646235005),0.015205224583261146
29,532,-117.15020708313801,32.715846937912005,POINT (-117.150207083138 32.715846937912),0.005321000022597678
30,534,-117.149162770078,32.711638339504,POINT (-117.149162770078 32.711638339504),0.018173053021686238
31,538,-117.146514878054,32.706374979530004,POINT (-117.146514878054 32.70637497953),0.007651573928305099
32,540,-117.14566536430901,32.715871758627,POINT (-117.145665364309 32.715871758627),0.0004534600812009913
33,776,-117.152202722254,32.711657365869996,POINT (-117.152202722254 32.71165736587),0.02079287721174778
34,778,-117.149765715446,32.706370543271,POINT (-117.149765715446 32.706370543271),0.015508033474694366
35,782,-117.14608736735902,32.711649729418,POINT (-117.146087367359 32.711649729418),0.009597987300104702
36,1001,-117.173199967354,32.720206526272996,POINT (-117.173199967354 32.720206526273),0.0
37,1013,-117.163719655276,32.714540971708004,POINT (-117.163719655276 32.714540971708),0.006402675565130276
38,1016,-117.17326554862301,32.723704623291,POINT (-117.173265548623 32.723704623291),0.0
39,1017,-117.16299304934999,32.720131334762996,POINT (-117.16299304935 32.720131334763),0.008501246638595328
40,1018,-117.16303837803801,32.721054500266,POINT (-117.163038378038 32.721054500266),0.005824174996422034
41,1019,-117.163020079708,32.725251618422,POINT (-117.163020079708 32.725251618422),6.628652349781932e-05
42,1020,-117.161200837595,32.723209182071,POINT (-117.161200837595 32.723209182071),0.0011901443991653923
43,1021,-117.16122237607901,32.725292397214,POINT (-117.161222376079 32.725292397214),0.00012202746371189466
44,1026,-117.155676986766,32.716925536725,POINT (-117.155676986766 32.716925536725),0.008278282877739027
45,1027,-117.155663993093,32.715977395145,POINT (-117.155663993093 32.715977395145),0.00953320728850456
46,1028,-117.15564023766501,32.711766847929,POINT (-117.155640237665 32.711766847929),0.011628765338174259
47,1236,-117.17157943850599,32.724121539651,POINT (-117.171579438506 32.724121539651),0.0
48,1239,-117.171209929724,32.721433501698,POINT (-117.171209929724 32.721433501698),0.00012202746371189466
49,1241,-117.16980579140301,32.724907112065,POINT (-117.169805791403 32.724907112065),0.0
50,1249,-117.164820328435,32.717624891791,POINT (-117.164820328435 32.717624891791),0.008758860173098217
51,1256,-117.163149931543,32.727114150641,POINT (-117.163149931543 32.727114150641),0.0
52,1257,-117.163011948101,32.723838941755,POINT (-117.163011948101 32.723838941755),0.0005980852233780517
53,1263,-117.161156489451,32.715145368184,POINT (-117.161156489451 32.715145368184),0.009718508251918919
54,1264,-117.16122137108,32.721735826481,POINT (-117.16122137108 32.721735826481),0.0036111090187334756
55,1265,-117.161101703925,32.712361528159,POINT (-117.161101703925 32.712361528159),0.007588300428602635
56,1266,-117.16117921863899,32.719545571753,POINT (-117.161179218639 32.719545571753),0.007347258524974201
