GEOID10,records,geometry
060730051001000,66,"POLYGON ((-117.147763 32.710456, -117.14792 32.710455, -117.148391 32.710455, -117.148549 32.710455, -117.148549 32.71067, -117.148549 32.711317, -117.14855 32.711533, -117.148386 32.711533, -117.147897 32.711533, -117.147734 32.711533, -117.147739 32.711317, -117.147757 32.71067, -117.147763 32.710456))"
060730051001001,1056,"POLYGON ((-117.148549 32.710455, -117.148728 32.710453, -117.149266 32.71045, -117.149446 32.710449, -117.149448 32.710665, -117.149455 32.711315, -117.149458 32.711532, -117.149276 32.711532, -117.148731 32.711532, -117.14855 32.711533, -117.148549 32.711317, -117.148549 32.71067, -117.148549 32.710455))"
060730051001002,1752,"POLYGON ((-117.150357 32.710445, -117.150357 32.710659, -117.150359 32.710963, -117.150359 32.710964, -117.15036 32.711308, -117.150361 32.711525, -117.15018 32.711526, -117.149638 32.71153, -117.149458 32.711532, -117.149455 32.711315, -117.149448 32.710665, -117.149446 32.710449, -117.149628 32.710447, -117.150174 32.710445, -117.150357 32.710445))"
060730051001003,335,"POLYGON ((-117.150359 32.710963, -117.150357 32.710659, -117.150357 32.710445, -117.150667 32.710445, -117.150688 32.710445, -117.1513 32.71046, -117.1516 32.710459, -117.151911 32.710458, -117.151913 32.710673, -117.151919 32.711323, -117.151922 32.711541, -117.151609 32.711537, -117.150673 32.711528, -117.150361 32.711525, -117.15036 32.711308, -117.150359 32.710964, -117.150359 32.710963))"
060730051001004,306,"POLYGON ((-117.150349 32.709417, -117.150658 32.709418, -117.151587 32.709423, -117.151897 32.709425, -117.151899 32.709631, -117.151908 32.710251, -117.151911 32.710458, -117.1516 32.710459, -117.1513 32.71046, -117.150688 32.710445, -117.150667 32.710445, -117.150357 32.710445, -117.150355 32.710239, -117.15035 32.709622, -117.150349 32.709417))"
060730051001005,1116,"POLYGON ((-117.149452 32.70941, -117.149631 32.709411, -117.150169 32.709415, -117.150349 32.709417, -117.15035 32.709622, -117.150355 32.710239, -117.150357 32.710445, -117.150174 32.710445, -117.149628 32.710447, -117.149446 32.710449, -117.149446 32.710241, -117.14945 32.709617, -117.149452 32.70941))"
060730051001006,1155,"POLYGON ((-117.148552 32.709411, -117.148731 32.70941, -117.149272 32.70941, -117.149452 32.70941, -117.14945 32.709617, -117.149446 32.710241, -117.149446 32.710449, -117.149266 32.71045, -117.148728 32.710453, -117.148549 32.710455, -117.148549 32.710245, -117.148551 32.709619, -117.148552 32.709411))"
060730051001007,101,"POLYGON ((-117.147733 32.709425, -117.147896 32.709421, -117.148388 32.709412, -117.148552 32.709411, -117.148551 32.709619, -117.148549 32.710245, -117.148549 32.710455, -117.148391 32.710455, -117.14792 32.710455, -117.147763 32.710456, -117.147757 32.710248, -117.147739 32.709631, -117.147733 32.709425))"
060730051001008,996,"POLYGON ((-117.148099 32.708021, -117.148182 32.70823, -117.148275 32.708462, -117.148453 32.70885, -117.148548 32.709056, -117.148548 32.709125, -117.148551 32.709339, -117.148552 32.709411, -117.148388 32.709412, -117.147896 32.709421, -117.147733 32.709425, -117.147732 32.70941, -117.147732 32.709366, -117.147732 32.709352, -117.147796 32.709083, -117.147893 32.708683, -117.148014 32.708284, -117.148047 32.708178, -117.148099 32.708021))"
060730051001009,545,"POLYGON ((-117.148544 32.708367, -117.148721 32.708365, -117.149254 32.708365, -117.149432 32.708366, -117.149436 32.708574, -117.149448 32.709201, -117.149452 32.70941, -117.149272 32.70941, -117.148731 32.70941, -117.148552 32.709411, -117.148551 32.709339, -117.148548 32.709125, -117.148548 32.709056, -117.148547 32.708917, -117.148544 32.708503, -117.148544 32.708367))"
060730051001010,396,"POLYGON ((-117.149432 32.708366, -117.149611 32.708365, -117.150152 32.708362, -117.150332 32.708362, -117.150335 32.708573, -117.150345 32.709206, -117.150349 32.709417, -117.150169 32.709415, -117.149631 32.709411, -117.149452 32.70941, -117.149448 32.709201, -117.149436 32.708574, -117.149432 32.708366))"
060730051001011,932,"POLYGON ((-117.150349 32.709417, -117.150345 32.709206, -117.150335 32.708573, -117.150332 32.708362, -117.150642 32.708357, -117.151044 32.708351, -117.151066 32.708358, -117.151161 32.708374, -117.151572 32.708371, -117.151883 32.708372, -117.151885 32.708582, -117.151894 32.709214, -117.151897 32.709425, -117.151587 32.709423, -117.150658 32.709418, -117.150349 32.709417))"
060730051001012,331,"POLYGON ((-117.14943 32.706269, -117.149614 32.70627, -117.150166 32.706276, -117.15035 32.706278, -117.150653 32.706277, -117.151564 32.70628, -117.151868 32.706281, -117.15187 32.70649, -117.151876 32.707118, -117.151879 32.707328, -117.151879 32.707535, -117.151882 32.708163, -117.151883 32.708372, -117.151572 32.708371, -117.151161 32.708374, -117.151066 32.708358, -117.151044 32.708351, -117.150642 32.708357, -117.150332 32.708362, -117.150152 32.708362, -117.149611 32.708365, -117.149432 32.708366, -117.149431 32.708163, -117.149431 32.707554, -117.149431 32.707351, -117.14943 32.707134, -117.14943 32.706485, -117.14943 32.706269))"
060730051001013,2321,"POLYGON ((-117.148533 32.706671, -117.148531 32.70659, -117.148525 32.706347, -117.148523 32.706267, -117.148704 32.706266, -117.149248 32.706268, -117.14943 32.706269, -117.14943 32.706485, -117.14943 32.707134, -117.149431 32.707351, -117.149431 32.707554, -117.149431 32.708163, -117.149432 32.708366, -117.149254 32.708365, -117.148721 32.708365, -117.148544 32.708367, -117.148544 32.708027, -117.148547 32.707319, -117.14854 32.707009, -117.148533 32.706671))"
060730051001014,434,"POLYGON ((-117.148533 32.706671, -117.14854 32.707009, -117.148547 32.707319, -117.148544 32.708027, -117.148544 32.708367, -117.148544 32.708503, -117.148547 32.708917, -117.148548 32.709056, -117.148453 32.70885, -117.148275 32.708462, -117.148182 32.70823, -117.148099 32.708021, -117.148118 32.707884, -117.148155 32.707751, -117.148159 32.70774, -117.148208 32.707621, -117.148278 32.707497, -117.148363 32.707356, -117.148434 32.707203, -117.148483 32.707057, -117.148504 32.706956, -117.148517 32.706895, -117.148532 32.706758, -117.148533 32.706671))"
