,ANNs
0,11346.165606431061
1,11849.827259474787
2,11233.256940581821
3,11351.446485619188
4,11020.980769682394
5,11308.013609411113
6,11675.299994280702
7,11211.798873891203
8,11582.695239468228
9,11818.075589508668
10,11795.469568044447
11,11551.112133163015
12,11643.603149728893
13,11488.68632496801
14,11238.648815281873
15,11564.090803216433
16,11167.356808621867
17,11520.936323354705
18,11038.803868757039
19,11445.989940988702
20,11221.404413816066
21,10954.615305651638
22,11381.188194350945
23,11456.139220394161
24,11706.77524005409
25,10718.667525687555
26,11444.783327216079
27,11399.20720731449
28,11283.355181174156
29,11650.67520577423
30,11451.09750005002
31,10977.18179206935
32,11143.219543912452
33,11257.822413623368
34,11715.085351093665
35,11509.066595259876
36,11525.642422725039
37,11111.32917486618
38,11452.728821266568
39,11103.725185892637
40,11503.266145903486
41,11654.403185992429
42,11073.953577792943
43,11381.903961191365
44,11302.499166196008
45,11529.80799097555
46,11811.847457244747
47,11054.44574380473
48,11205.560591994414
49,11372.62866158199
50,11188.510634574744
51,11593.106566566554
52,11421.455369927373
53,11666.512905308586
54,11421.720737557122
55,11377.472520866411
56,10784.64665150173
57,11365.082968691471
58,11322.542600313607
59,11239.853099755699
60,11457.158859192523
61,11808.054162833363
62,10808.334668590207
63,11122.407376583275
64,11357.19093396855
65,11380.716872556906
66,11630.894958935343
67,11433.554990292732
68,11351.43599136206
69,11152.246973113626
70,11245.233421728117
71,11530.140192123645
72,11448.242362179339
73,11156.648509766695
74,10722.99559128577
75,11213.318132859178
76,11592.549404511445
77,11517.552087621836
78,11446.29942608737
79,11619.16753336347
80,11531.215529635481
81,11045.43126623026
82,10954.450659124977
83,11730.39442621532
84,11359.48525287923
85,11754.29769552437
86,11963.347871679596
87,11345.996539855736
88,11002.878300295808
89,11407.248898370452
90,10999.569527362934
91,11581.201420310474
92,11721.397373930473
93,11652.066751256867
94,11338.595374675515
95,11795.30282396064
96,11188.667276409067
97,11335.742013156208
98,11859.300770299513
99,10817.34706830083
