,ANNs
0,5.356980987096262
1,5.244308004140187
2,5.416106399433309
3,5.248671639407856
4,5.422896745213299
5,5.457615070487686
6,5.365257466877958
7,5.359476903071598
8,5.207093871329672
9,5.563156306196146
10,5.4163485314581346
11,5.267485320681742
12,5.2863137884256
13,5.158967516510477
14,5.1730678121453755
15,5.432053245538404
16,5.050364065658909
17,5.2055036249522075
18,5.073766429837057
19,5.2374769085296595
20,5.257406740559813
21,5.0215479785803945
22,5.2748403995163375
23,5.037085337757369
24,5.529023648736699
25,5.262782672229261
26,5.277145300109696
27,5.140353079766671
28,5.328178602826762
29,5.358181400126411
30,5.2014289351927445
31,5.090875480415485
32,5.27751171295188
33,5.214081784306038
34,5.363083194565228
35,4.791429632707017
36,5.155705371394931
37,5.324425231396455
38,5.002886725933005
39,5.314069054094968
40,5.321074639568056
41,5.278681377906953
42,5.138182120121383
43,5.416621383251535
44,5.059528391347399
45,5.038174716149433
46,5.55864584716087
47,5.351724240277136
48,5.490495569986238
49,5.1838657301249365
50,5.340747162098678
51,5.509416788906574
52,5.319091070343648
53,5.188235130698779
54,5.053378746066361
55,5.356739741216355
56,5.3923370536464885
57,5.297447624544321
58,5.226126604948143
59,5.213432928547325
60,5.530590328862263
61,5.405394064688388
62,5.247492184551269
63,5.273636546420988
64,5.338120599207854
65,5.122049269599754
66,5.084174840678015
67,4.809232728256816
68,5.216945442387474
69,5.409788569521454
70,5.43207260201402
71,5.35164533630042
72,5.110798513120998
73,5.146078280910894
74,5.1461182221634045
75,5.40850377043796
76,5.023151537130403
77,5.189954642179975
78,5.359391672107092
79,5.182778073831349
80,5.330366439190121
81,5.0845015955957065
82,5.535559719080773
83,5.156917195618022
84,5.297352061840342
85,5.30963366036877
86,5.100391538696032
87,5.328360810829233
88,4.981163098888044
89,5.524259214635012
90,5.10530501033866
91,5.088730803189391
92,5.145072110812
93,5.156503144528966
94,5.262634676683231
95,5.348859676990713
96,5.514632949344758
97,5.009803198097682
98,5.229733390872104
99,5.402791761834557
